Date,Product_Category,Sales,Price,Promotion,Store_Location,Weekday,Supplier_Cost,Replenishment_Lead_Time,Stock_Level
01-01-2022,Household,1583,5.190661373524142,0,Urban,5,9.299280855332018,9,207
02-01-2022,Personal Care,1103,8.949595984685402,0,Urban,6,13.274108581775032,5,253
03-01-2022,Dairy,455,4.867987326502611,0,Rural,0,13.302264839521472,9,245
04-01-2022,Personal Care,1107,16.968595719261735,1,Urban,1,10.056158446917369,5,265
05-01-2022,Personal Care,1447,4.309673394986819,1,Rural,2,3.5628615563574995,8,334
06-01-2022,Snacks,1256,19.25483047825256,1,Urban,3,13.013454054703645,1,245
07-01-2022,Dairy,987,8.902239956791874,0,Suburban,4,13.348354812041519,7,356
08-01-2022,Dairy,1928,17.07866054836194,0,Rural,5,3.351476981817901,4,201
09-01-2022,Dairy,1963,12.946531545912958,1,Rural,6,11.19267824367482,5,63
10-01-2022,Personal Care,226,14.97165567,1,Urban,0,4.654533459443282,6,374
11-01-2022,Household,1229,15.586753873268826,0,Rural,1,12.13828452911748,5,195
12-01-2022,Dairy,1108,10.592052755967337,0,Rural,2,14.95994954860224,1,475
13-01-2022,Personal Care,703,11.32270994390248,0,Suburban,3,0.9353770772761958,9,106
14-01-2022,Snacks,1922,10.765921488365775,0,Suburban,4,13.511805053968512,2,260
15-01-2022,Household,1501,12.173109183711505,1,Urban,5,9.528142737180541,9,317
16-01-2022,Snacks,1113,1.5584944693736387,0,Suburban,6,14.614047977889907,2,259
17-01-2022,Household,150,8.514788227131291,0,Urban,0,7.242638004,9,66
18-01-2022,Personal Care,1152,12.51758555766226,0,Urban,1,12.78712499328492,6,335
19-01-2022,Beverages,1585,12.356747739861422,1,Urban,2,1.4047139946750198,9,393
20-01-2022,Household,1419,16.066165797506997,1,Rural,3,5.361546226135288,6,252
21-01-2022,Snacks,1420,13.445177437810063,0,Suburban,4,1.4717397973925446,6,148
22-01-2022,Personal Care,1849,19.850533010472773,0,Urban,5,14.642475435446523,2,328
23-01-2022,Household,878,6.393236043564255,0,Suburban,6,12.346121655441632,8,258
24-01-2022,Beverages,1530,7.823869563658398,1,Urban,0,12.861937608066572,3,178
25-01-2022,Beverages,1892,8.293095885488128,1,Suburban,1,14.100495855791467,7,384
26-01-2022,Dairy,913,9.850443333384721,1,Suburban,2,1.7340005487368877,5,337
27-01-2022,Dairy,1736,16.883963211842982,0,Urban,3,6.091165091443334,3,301
28-01-2022,Snacks,1528,5.480049785224987,1,Rural,4,1.5300058911380308,1,314
29-01-2022,Household,1469,15.74400393367316,0,Suburban,5,3.556499972475415,8,320
30-01-2022,Household,1745,8.700893478629125,0,Rural,6,3.8258037670462492,3,461
31-01-2022,Dairy,519,12.435252289578163,0,Rural,0,7.302054560189891,2,457
01-02-2022,Household,1305,13.018270131299817,1,Urban,1,4.394151428077818,1,237
02-02-2022,Household,1082,8.084124106589755,0,Urban,2,1.964182548857536,4,468
03-02-2022,Beverages,924,10.739688898910298,1,Urban,3,2.928620791864562,8,263
04-02-2022,Dairy,1124,8.847592318306244,1,Suburban,4,2.6354956715053186,3,332
05-02-2022,Personal Care,1954,2.3135229375457693,0,Urban,5,14.609613569728324,1,260
06-02-2022,Dairy,666,9.306142387519705,0,Urban,6,11.509741350317867,4,414
07-02-2022,Personal Care,470,2.8504744585174913,1,Suburban,0,14.532541246408648,9,125
08-02-2022,Beverages,1035,8.695395183,0,Suburban,1,6.876237054364673,1,197
09-02-2022,Snacks,760,12.265449596803855,1,Urban,2,4.536342984,2,370
10-02-2022,Household,1554,12.008883087526515,0,Urban,3,12.075251359533206,9,262
11-02-2022,Beverages,1068,13.589804301158086,1,Urban,4,5.230681811596629,2,482
12-02-2022,Household,1432,2.8099686511378996,1,Urban,5,4.841058919,3,158
13-02-2022,Snacks,1260,13.390341665078319,1,Rural,6,3.8713368870135523,7,178
14-02-2022,Snacks,301,6.930813077232495,1,Rural,0,2.3803451842514125,3,59
15-02-2022,Beverages,1559,8.581872977,0,Urban,1,4.218714384743107,9,96
16-02-2022,Snacks,412,17.30173882453141,0,Rural,2,5.652136352871372,6,428
17-02-2022,Personal Care,216,1.1715776784614547,1,Suburban,3,10.27291601811309,3,364
18-02-2022,Snacks,1789,12.179840033471503,1,Rural,4,1.4071902121820479,9,145
19-02-2022,Household,1036,12.375565621902044,0,Rural,5,3.552350625147473,1,495
20-02-2022,Household,1926,8.536535750527678,0,Urban,6,12.230842784229308,3,152
